Feature,Importance
area,0.4609769391656171
bathrooms,0.16707723085204235
airconditioning,0.09097404069844184
parking,0.05145760302698071
stories,0.045738021783919926
bedrooms,0.04558806666674076
furnishingstatus,0.032947101106286125
basement,0.03176312278842905
prefarea,0.02681760095356235
mainroad,0.01670984365124962
hotwaterheating,0.015349262795341271
guestroom,0.01460116651138893
