Model,R2 Score,MAE,RMSE
Linear Regression,0.6494754192267804,979679.6912959905,1331071.4167895105
Decision Tree,0.4681689010023007,1222399.0825688073,1639566.2990811225
Random Forest,0.6115321143409216,1025289.6821100918,1401263.0789821919
Gradient Boosting,0.6646855642239725,964058.8730464154,1301871.871671099
